Running on host bp1-compute202.data.bp.acrc.priv
Started on Thu Mar  7 16:27:26 GMT 2024
Directory is /user/home/pq20206/XYZ_heisenberg
Slurm job ID is 8067689
This jobs runs on the following machines:
bp1-compute202




Ended on: Thu Mar  7 16:28:34 GMT 2024
After sweep 154: maxlinkdim=32 maxerr=4.59E-10 current_time=0.0 + 7.7im time=4.432
After sweep 155: maxlinkdim=32 maxerr=5.01E-10 current_time=0.0 + 7.75im time=4.499
After sweep 156: maxlinkdim=32 maxerr=5.47E-10 current_time=0.0 + 7.8im time=4.648
After sweep 157: maxlinkdim=32 maxerr=5.97E-10 current_time=0.0 + 7.85im time=4.684
After sweep 158: maxlinkdim=32 maxerr=6.53E-10 current_time=0.0 + 7.9im time=4.984
After sweep 159: maxlinkdim=32 maxerr=7.27E-10 current_time=0.0 + 7.95im time=4.839
After sweep 160: maxlinkdim=32 maxerr=8.13E-10 current_time=0.0 + 8.0im time=4.376
After sweep 161: maxlinkdim=32 maxerr=9.10E-10 current_time=0.0 + 8.05im time=4.968
After sweep 162: maxlinkdim=32 maxerr=1.02E-09 current_time=0.0 + 8.1im time=5.206
After sweep 163: maxlinkdim=32 maxerr=1.14E-09 current_time=0.0 + 8.15im time=4.548
After sweep 164: maxlinkdim=32 maxerr=1.29E-09 current_time=0.0 + 8.2im time=4.799
After sweep 165: maxlinkdim=32 maxerr=1.45E-09 current_time=0.0 + 8.25im time=4.925
After sweep 166: maxlinkdim=32 maxerr=1.64E-09 current_time=0.0 + 8.3im time=5.977
After sweep 167: maxlinkdim=32 maxerr=1.85E-09 current_time=0.0 + 8.35im time=6.443
After sweep 168: maxlinkdim=32 maxerr=2.10E-09 current_time=0.0 + 8.4im time=5.328
After sweep 169: maxlinkdim=32 maxerr=2.37E-09 current_time=0.0 + 8.45im time=4.882
After sweep 170: maxlinkdim=32 maxerr=2.67E-09 current_time=0.0 + 8.5im time=4.763
After sweep 171: maxlinkdim=32 maxerr=2.97E-09 current_time=0.0 + 8.55im time=4.536
After sweep 172: maxlinkdim=32 maxerr=3.27E-09 current_time=0.0 + 8.6im time=4.63
After sweep 173: maxlinkdim=32 maxerr=3.53E-09 current_time=0.0 + 8.65im time=5.031
After sweep 174: maxlinkdim=32 maxerr=3.75E-09 current_time=0.0 + 8.7im time=5.259
After sweep 175: maxlinkdim=32 maxerr=3.91E-09 current_time=0.0 + 8.75im time=6.255
After sweep 176: maxlinkdim=32 maxerr=4.03E-09 current_time=0.0 + 8.8im time=4.941
After sweep 177: maxlinkdim=32 maxerr=4.11E-09 current_time=0.0 + 8.85im time=4.673
After sweep 178: maxlinkdim=32 maxerr=4.15E-09 current_time=0.0 + 8.9im time=4.641
After sweep 179: maxlinkdim=32 maxerr=4.48E-09 current_time=0.0 + 8.95im time=5.601
After sweep 180: maxlinkdim=32 maxerr=4.89E-09 current_time=0.0 + 9.0im time=5.549
After sweep 181: maxlinkdim=32 maxerr=5.34E-09 current_time=0.0 + 9.05im time=4.851
After sweep 182: maxlinkdim=32 maxerr=5.83E-09 current_time=0.0 + 9.1im time=4.695
After sweep 183: maxlinkdim=32 maxerr=6.34E-09 current_time=0.0 + 9.15im time=5.575
After sweep 184: maxlinkdim=32 maxerr=6.90E-09 current_time=0.0 + 9.2im time=5.089
After sweep 185: maxlinkdim=32 maxerr=7.50E-09 current_time=0.0 + 9.25im time=5.776
After sweep 186: maxlinkdim=32 maxerr=8.13E-09 current_time=0.0 + 9.3im time=5.072
After sweep 187: maxlinkdim=32 maxerr=8.81E-09 current_time=0.0 + 9.35im time=6.18
After sweep 188: maxlinkdim=32 maxerr=9.53E-09 current_time=0.0 + 9.4im time=4.3
After sweep 189: maxlinkdim=32 maxerr=1.03E-08 current_time=0.0 + 9.45im time=5.198
After sweep 190: maxlinkdim=32 maxerr=1.11E-08 current_time=0.0 + 9.5im time=4.724
After sweep 191: maxlinkdim=32 maxerr=1.20E-08 current_time=0.0 + 9.55im time=5.397
After sweep 192: maxlinkdim=32 maxerr=1.29E-08 current_time=0.0 + 9.6im time=4.954
After sweep 193: maxlinkdim=32 maxerr=1.38E-08 current_time=0.0 + 9.65im time=4.325
After sweep 194: maxlinkdim=32 maxerr=1.48E-08 current_time=0.0 + 9.7im time=5.451
After sweep 195: maxlinkdim=32 maxerr=1.59E-08 current_time=0.0 + 9.75im time=5.095
After sweep 196: maxlinkdim=32 maxerr=1.70E-08 current_time=0.0 + 9.8im time=4.544
