times,C_5,C_10,C_20,C_30,C_40,C_50
2.9499999999999975,9.688644844668072819586070677886478047646032518707440118685414454091642255662009e-39,1.168606688610437384065196061751515876814903702489669387047700395973456427288735e-38,1.168606688610437384065196061751515876814903702489669387047700395973456427288735e-38,1.168606688610437384065196061751515876814903702489669387047700395973456427288735e-38,1.168606688610437384065196061751515876814903702489669387047700395973456427288735e-38,1.168606688610437384065196061751515876814903702489669387047700395973456427288735e-38
2.9999999999999973,2.031860352495556860827166715801951093757101182839388985028252512340964384964466e-38,2.562210342807956890623035180504462173164487542871877343911169816848032902981391e-38,2.562210342807956890623035180504462173164487542871877343911169816848032902981391e-38,2.562210342807956890623035180504462173164487542871877343911169816848032902981391e-38,2.562210342807956890623035180504462173164487542871877343911169816848032902981391e-38,2.562210342807956890623035180504462173164487542871877343911169816848032902981391e-38
3.049999999999997,8.288153528258705538234299563131631565998566156399934079780026627740062140912484e-39,7.300921944560313847609153143820882798341557879085444286856138043129378893976589e-38,7.300921944560313847609153143820882798341557879085444286856138043129378893976589e-38,7.300921944560313847609153143820882798341557879085444286856138043129378893976589e-38,7.300921944560313847609153143820882798341557879085444286856138043129378893976589e-38,7.300921944560313847609153143820882798341557879085444286856138043129378893976589e-38
3.099999999999997,6.314264332712884283874921249872285944390778081657830994275039846097571601958715e-38,7.163168700323331467476105069861829045972177303603553157221026689447129347257028e-39,7.163168700323331467476105069861829045972177303603553157221026689447129347257028e-39,7.163168700323331467476105069861829045972177303603553157221026689447129347257028e-39,7.163168700323331467476105069861829045972177303603553157221026689447129347257028e-39,7.163168700323331467476105069861829045972177303603553157221026689447129347257028e-39
3.149999999999997,4.256575246922892655808667070332116184913683480967676298588331373906612498103641e-38,7.446746667951827272008483335635228735332969273519015706922484962543800733932704e-38,7.446746667951827272008483335635228735332969273519015706922484962543800733932704e-38,7.446746667951827272008483335635228735332969273519015706922484962543800733932704e-38,7.446746667951827272008483335635228735332969273519015706922484962543800733932704e-38,7.446746667951827272008483335635228735332969273519015706922484962543800733932704e-38
3.1999999999999966,1.66801959615461704780317180534170679644067890324940043569218494576405851193426e-37,3.110102347816156273232517022625751575669698439545214801039555318062894905815022e-38,3.110102347816156273232517022625751575669698439545214801039555318062894905815022e-38,3.110102347816156273232517022625751575669698439545214801039555318062894905815022e-38,3.110102347816156273232517022625751575669698439545214801039555318062894905815022e-38,3.110102347816156273232517022625751575669698439545214801039555318062894905815022e-38
3.2499999999999964,4.593209737527028538153056197765233382068182393714692862927414783676115789950053e-39,7.20908644840231219556194680421115211829139982198653582737545390572990113176336e-38,7.20908644840231219556194680421115211829139982198653582737545390572990113176336e-38,7.20908644840231219556194680421115211829139982198653582737545390572990113176336e-38,7.20908644840231219556194680421115211829139982198653582737545390572990113176336e-38,7.20908644840231219556194680421115211829139982198653582737545390572990113176336e-38
3.2999999999999963,2.279816192122129999893177439830495720480803505578174460037660952280125101485199e-38,4.268628655793627436252852303069856317037917560515507968371255035905347463007722e-38,4.268628655793627436252852303069856317037917560515507968371255035905347463007722e-38,4.268628655793627436252852303069856317037917560515507968371255035905347463007722e-38,4.268628655793627436252852303069856317037917560515507968371255035905347463007722e-38,4.268628655793627436252852303069856317037917560515507968371255035905347463007722e-38
3.349999999999996,3.619935086533292058122638049619000445578751200305772721527596908135338720770155e-38,1.334484553545809009945549996935709724905525941702136815619980299837940112827024e-38,1.334484553545809009945549996935709724905525941702136815619980299837940112827024e-38,1.334484553545809009945549996935709724905525941702136815619980299837940112827024e-38,1.334484553545809009945549996935709724905525941702136815619980299837940112827024e-38,1.334484553545809009945549996935709724905525941702136815619980299837940112827024e-38
3.399999999999996,1.660500564906675461874145791462112308907167134856025411744290251048137706519797e-38,0.0,0.0,0.0,0.0,0.0
3.4499999999999957,1.297176383231624558224919180628236861002791507237812003619579468330334494350679e-38,-0.0,-0.0,-0.0,-0.0,-0.0
3.4999999999999956,5.647883013716462121065326030594819214262013369922411543964783691346202029740967e-39,4.897127832624878224293923786284496770440104183019014441914139309497353979012574e-38,4.897127832624878224293923786284496770440104183019014441914139309497353979012574e-38,4.897127832624878224293923786284496770440104183019014441914139309497353979012574e-38,4.897127832624878224293923786284496770440104183019014441914139309497353979012574e-38,4.897127832624878224293923786284496770440104183019014441914139309497353979012574e-38
3.5499999999999954,1.397047485303442610918268956930953183763231990559150313744717655337092564184716e-38,2.821645619454277365060980777633431382365051549867101867843390223616847325978738e-38,2.821645619454277365060980777633431382365051549867101867843390223616847325978738e-38,2.821645619454277365060980777633431382365051549867101867843390223616847325978738e-38,2.821645619454277365060980777633431382365051549867101867843390223616847325978738e-38,2.821645619454277365060980777633431382365051549867101867843390223616847325978738e-38
3.599999999999995,9.196649616176113349816035898511976056122063232898459597457673593136290422451525e-39,1.231800989404156913605211697406825371872955015905312540071990293399936352571183e-37,1.231800989404156913605211697406825371872955015905312540071990293399936352571183e-37,1.231800989404156913605211697406825371872955015905312540071990293399936352571183e-37,1.231800989404156913605211697406825371872955015905312540071990293399936352571183e-37,1.231800989404156913605211697406825371872955015905312540071990293399936352571183e-37
3.649999999999995,7.989688165745254981638410147006031222306070225827949476247570960510760586265715e-39,1.093165263446274680863021337010381717420747940984398440676913978049345657210206e-38,1.093165263446274680863021337010381717420747940984398440676913978049345657210206e-38,1.093165263446274680863021337010381717420747940984398440676913978049345657210206e-38,1.093165263446274680863021337010381717420747940984398440676913978049345657210206e-38,1.093165263446274680863021337010381717420747940984398440676913978049345657210206e-38
3.699999999999995,1.30498240040505678674636147902291251610116990418643704704800020207858538690247e-37,4.546431031671541454783592449655263883542639552121056254988783878428847769465801e-38,4.546431031671541454783592449655263883542639552121056254988783878428847769465801e-38,4.546431031671541454783592449655263883542639552121056254988783878428847769465801e-38,4.546431031671541454783592449655263883542639552121056254988783878428847769465801e-38,4.546431031671541454783592449655263883542639552121056254988783878428847769465801e-38
3.7499999999999947,3.342547505821228959519384001571157934222218791053826691950234817340970039367676e-14,6.526059945727259606912844274212136885035887422300677161099935369007075182403659e-39,6.526059945727259606912844274212136885035887422300677161099935369007075182403659e-39,6.526059945727259606912844274212136885035887422300677161099935369007075182403659e-39,6.526059945727259606912844274212136885035887422300677161099935369007075182403659e-39,6.526059945727259606912844274212136885035887422300677161099935369007075182403659e-39
3.7999999999999945,3.283852561974804078645231576053659444864619987303200332462438382208347320556641e-13,6.396485800366839966669644786973435525965103631340259581231165343207052437220855e-38,6.396485800366839966669644786973435525965103631340259581231165343207052437220855e-38,6.396485800366839966669644786973435525965103631340259581231165343207052437220855e-38,6.396485800366839966669644786973435525965103631340259581231165343207052437220855e-38,6.396485800366839966669644786973435525965103631340259581231165343207052437220855e-38
3.8499999999999943,9.97113591186545707357584398322633621562782746394759669783525168895721435546875e-13,7.920811543626734166689601396725153081386123913361101028144283650561508988696427e-39,7.920811543626734166689601396725153081386123913361101028144283650561508988696427e-39,7.920811543626734166689601396725153081386123913361101028144283650561508988696427e-39,7.920811543626734166689601396725153081386123913361101028144283650561508988696427e-39,7.920811543626734166689601396725153081386123913361101028144283650561508988696427e-39
3.899999999999994,2.13295892658724773274902559107757578360509143067247350700199604034423828125e-12,0.0,0.0,0.0,0.0,0.0
3.949999999999994,3.841151797116063748391090441848530674141815044464465245255269110202789306640625e-12,3.330471665354642853897796997146497447554803496103371269517427342730799490883715e-39,3.330471665354642853897796997146497447554803496103371269517427342730799490883715e-39,3.330471665354642853897796997146497447554803496103371269517427342730799490883715e-39,3.330471665354642853897796997146497447554803496103371269517427342730799490883715e-39,3.330471665354642853897796997146497447554803496103371269517427342730799490883715e-39
3.999999999999994,6.239209622259733407690722790297157434626085237283632523030973970890045166015625e-12,4.902293579283769406139036542076033811854685664831983678400269730157675870387118e-38,4.902293579283769406139036542076033811854685664831983678400269730157675870387118e-38,4.902293579283769406139036542076033811854685664831983678400269730157675870387118e-38,4.902293579283769406139036542076033811854685664831983678400269730157675870387118e-38,4.902293579283769406139036542076033811854685664831983678400269730157675870387118e-38
4.0499999999999945,9.45722066948788443343972648182080612509758932304748668684624135494232177734375e-12,1.52504320807364703822495867510801784971550606473014041429475084218080375903744e-38,1.52504320807364703822495867510801784971550606473014041429475084218080375903744e-38,1.52504320807364703822495867510801784971550606473014041429475084218080375903744e-38,1.52504320807364703822495867510801784971550606473014041429475084218080375903744e-38,1.52504320807364703822495867510801784971550606473014041429475084218080375903744e-38
